product_id|key|value
33|Resolution|(2880x1800) 2.8k OLED 90Hz 400 nits
33|Processor|AMD RYZEN 5 7640U
33|Graphics|AMD Radeon™ Graphics
33|RAM|16 GB LPDDR5
33|Disk (storage)|512GB PCIE NVME SSD
33|Operating system|Windows 11 Home
33|Wi-fi 6e|TRUE
33|Bluetooth 5.1|TRUE
33|Camera|1440p QHD camera
33|Fingerprint Reader|TRUE
33|Backlit keyboard|TRUE
33|Plugins|2x USB Type-C 2x USB Standard-A 1x HDMI® 2.1 1x HeadPhone/Speaker Jack
34|Laptop|TRUE
34|Display|14.0” (35.5cm)
34|Resolution|(2880x1800) 2.8k OLED 90Hz 400 nits
34|Processor|AMD RYZEN 7 7840U
34|Graphics|AMD Radeon™ Graphics
34|RAM|16 GB LPDDR5 5200MHz
34|Disk (storage)|512GB PCIE NVME SSD
34|Operating system|Windows 11 Home
34|Wi-fi 6e|TRUE
34|Bluetooth 5.2|TRUE
34|Camera|HD 720p
34|Backlit keyboard|TRUE
34|Plugins|TRUE
34|1x USB Type C|TRUE
34|2x USB USB 3.2|TRUE
34|1x HDMI®|TRUE
34|1x LAN (RJ45)|TRUE
34|1x headphone/speaker jack|TRUE
34|Battery|65Wh Li-ion battery
34|Weight|1.78kg
35|Laptop|TRUE
35|Display|Acer ComfyView™ 15.6” (39.6 cm)
35|Resolution|(1920 x 1080) FHD IPS 165Hz Nvidia G-Sync™
35|Processor|12th Gen Intel® Core™ i9-12900h 14 Core™ 24MB
35|Graphics|Nvidia® GeForce® RTX™ 3070 8 GB GDDR6 VRAM
35|RAM|16GB DDR5 (1 x 16)
35|Disk (storage)|1TB SSD PCIE
35|Without an operating system|TRUE
35|Gates|1x (HDMI 2.1 with HDCP Support) 2x DisplayPort™ (1xminidispalyport) 1x Via USB Type-C) Thunderbolt Thunderbolt™ 4 (VIA USB Type-C) USB 3.2 4x (1x USB Type -C Gen2) 1x GenMIT POWER-OFF USB Charging) 2x Gen1 Ethernet (RJ-45) 1x Headphone/Speaker Jack
35|LAN|Killer™ Ethernet E2600
35|Intel® Killer ™ wireless wi-fi 6e|TRUE
35|Bluetooth® 5.2|TRUE
35|Keyboard backlight|TRUE
35|Audio|Acer TrueHarmony
35|Built -in speakers|TRUE
35|Built -in microphone|TRUE
35|Battery|90Wh Li-ion 4-Cell Battery
35|POWER|280 w
35|Weight|2.6kg
36|Laptop|TRUE
36|Display|Acer ComfyView™ 15.6” (39.6 cm)
36|Resolution|(1920 x 1080) FHD IPS 165Hz Nvidia G-Sync™
36|Processor|12th Gen Intel® Core™ i9-12900H 2.50 GHz 14 Core™
36|Graphics|Nvidia® GeForce® RTX™ 3070 8 GB GDDR6 VRAM
36|RAM|32GB DDR5 (2 x 16GB)
36|Disk (storage)|1TB SSD PCIE
36|Without an operating system|TRUE
36|Gates|1x (HDMI 2.1 with HDCP Support) 2x DisplayPort™ (1xminidispalyport) 1x VIA USB Type-C) Thunderbolt Thunderbolt™ 4 (VIA USB Type-C) USB 3.2 4x (1x USB Type -C Gen2) 1x Gen2 (Mit Power-Off USB Charging) 2x Gen1 Ethernet (RJ-45) 1x headphone/speaker jack LAN: Killer™ Ethernet E2600 Intel® Killer™ wireless wi-fi 6e Bluetooth® 5.2 Keyboard backlight
36|Audio|Acer TrueHarmony
36|Built -in speakers|TRUE
36|Built -in microphone|TRUE
36|Battery|90Wh Li-ion 4-Cell Battery
36|POWER|280 w
36|Weight|2.6kg
37|Laptop|TRUE
37|Display|17.3” (43.9cm)
37|Resolution|(1920 x 1080) FHD LED 144 Hz
37|Processor|Intel Core i7-12700H (up to 4.7 GHz 24 MB Intel® Smart Cache 14 cores 20 strands)
37|Graphics|Nvidia® GeForce® RTX™ 3060 6GB GDDR6
37|RAM|16 GB
37|Disk (storage)|512GB SSD
37|Without an operating system|TRUE
37|Wlan|IEEE 802.11 A/B/G/N/AC/AX
37|Bluetooth|5.2
37|Gigabit Ethernet|TRUE
37|Microphone|TRUE
37|Connection|TRUE
37|1 x HDMI|TRUE
37|1 x USB 3.2 Gen 1 Type A|TRUE
37|2 x USB 3.2 Gen 2 Type A|TRUE
37|1 x USB 3.2 Gen 2 Type C|TRUE
37|1 x RJ-45|TRUE
37|Battery|4 Cell - Li -ion
37|POWER|90 W
38|Laptop|TRUE
38|Display|14.0” (35.5cm)
38|Resolution|2.8k OLED Slimbezel Adobe & DCI-P3 100%
38|Processor|AMD RYZEN™ 5 7640U
38|Graphics|AMD Radeon™ Graphics
38|RAM|16 GB LPDDR5
38|Disk (storage)|512GB PCIE NVME SSD
38|Without an operating system|TRUE
38|Wifi6e+bt|TRUE
38|Camera|QHD camera
38|Battery|65Wh Li-ion battery
38|Charger|65W Typec WM Adapter
39|Laptop|TRUE
39|Display|15.6” (39.6cm)
39|Resolution|FHD (1920 x 1080) FHD IPS 165Hz Slimbezel
39|Processor|Intel® Core™ i7-12700H (14-core/20-thread 24MB Cache Up to 4.7 GHz Max Boost)
39|Graphics|Nvidia® GeForce RTX™ 3070 Ti 8GB
39|RAM|16 GB DDR5
39|Disk (storage)|512GB PCIE NVME SED SSD
39|Without an operating system|TRUE
39|LAN 10/100/1000/2500 Mbps|TRUE
39|Wifi6e+bt|TRUE
39|FHD USB camera|TRUE
39|Battery|90Wh Li-ion battery
39|280W AC Adapter|TRUE
40|Laptop|TRUE
40|Display|15.6” (39.6cm)
40|Resolution|FHD (1920 x 1080) FHD IPS 165Hz Slimbezel
40|Processor|Intel® Core™ i9-12900H (14-core/20-thread 24MB Cache Up to 5.0 GHz Max Boost)
40|Graphics|Nvidia® GeForce RTX™ 3070 Ti 8GB
40|RAM|16 GB DDR5
40|Disk (storage)|1TB PCIE NVME SED SSD
40|Without an operating system|TRUE
40|LAN 10/100/1000/2500 Mbps|TRUE
40|Wifi6e+bt|TRUE
40|FHD USB camera|TRUE
40|Battery|90Wh Li-ion battery
40|280W AC Adapter|TRUE
41|Laptop|TRUE
41|Display|17.3” (43.9 cm)
41|Resolution|(1920 x 1080) FHD IPS 144Hz Slimbezel
41|Processor|Intel® Core™ i5-12500h
41|Graphics|Nvidia® GeForce RTX™ 3050 4GB GDDR6
41|RAM|16 GB DDR4 3200MHz
41|Disk (storage)|512GB PCIE NVME SED SSD
41|Without an operating system|TRUE
41|Wireless|802.11AX + BT
41|Camera|HD USB Câmera
41|Battery|90Wh Li-ion
41|Charger|180W
42|Laptop|TRUE
42|Display|14.0” (35.5cm)
42|Resolution|2.2K IPS SRGB100% Slimbezel
42|Processor|Intel® Core™ i7-1355U (10C 12T 12 MB Cache 5.0 Max Frequency)
42|Graphics|Intel® Iris® XE Graphics
42|RAM|16 GB LPDDR5
42|Disk (storage)|512GB PCIE NVME SSD
42|Operating system|Windows 11 Home
42|Wifi6e+bt|TRUE
42|Camera|QHD camera
42|Battery|50Wh Li-ion battery
42|Charger|65W Typec WM Adapter
43|Laptop|TRUE
43|Display|17.3” (43.9cm)
43|Resolution|FHD (1920 x 1080) FHD IPS 144Hz 250 cd/m²
43|Processor|Intel® Core™ i7-11600H Hexa-Core (6 Core™ 4.60 GHz 18 MB CACHE)
43|Graphics|Nvidia® GeForce RTX™ 3050 4GB GDDR6
43|RAM|32 GB DDR4 3200MHz
43|Disk (storage)|512GB PCIE NVME M.2 SSD
43|Without an operating system|TRUE
43|WiFi IEEE 802.11AX|TRUE
43|Bluetooth 5.1|TRUE
43|HD Web Cam|TRUE
43|Speakers x2|TRUE
43|Microphones X2|TRUE
43|Plugins|TRUE
43|HDMI X1|TRUE
43|Network (RJ-45) x1|TRUE
43|Audio Line Out|TRUE
43|USB X4|TRUE
43|Red Backlight|TRUE
43|Battery|57Wh Lithium Polymer (Li-Polymer)
43|Time of work|to 8h
43|180W AC Adapter|TRUE
44|Laptop|TRUE
44|Display|17.3” (43.9cm)
44|Resolution|FHD (1920 x 1080) FHD IPS 144Hz Slimbezel
44|Processor|Intel® Core™ i5-12500h (12-core/16-thread 18MB CACHE up to 4.5 GHz Max Boost)
44|Graphics|Nvidia® GeForce RTX™ 3050 4GB
44|RAM|16 GB DDR5 5600MHz
44|Disk (storage)|512GB PCIE NVME SED SSD
44|Without an operating system|TRUE
44|LAN 10/100/1000/2500 Mbps|TRUE
44|Wifi6e+bt|TRUE
44|FHD USB camera|TRUE
44|Battery|90Wh Li-ion battery
44|330W AC Adapter|TRUE
45|Laptop|TRUE
45|Display|15.6” (39.6cm)
45|Resolution|(1920x1080) FHD IPS 144Hz Slimbezel
45|Processor|AMD RYZEN™ 7 6800H (8C 16T 3.2 - 4.7GHz L3 16MB)
45|Graphics|Nvidia® GeForce RTX™ 3050 4G-GDDR6
45|RAM|16 GB DDR5
45|Disk (storage)|512GB PCIE NVME SED SSD
45|Without an operating system|TRUE
45|Camera|HD USB camera
45|Wi-fi 6e|TRUE
45|Bluetooth 5.2|TRUE
45|57Wh Li-ion battery|TRUE
45|POWER|230W
46|Laptop|TRUE
46|Display|15.6” (39.6cm)
46|Resolution|(1920 x 1080) FHD IPS Slimbezel
46|Processor|Intel® Core™ i5-1135g7 (4C 8T Max Turbo Frequency 4.20 GHz Cache 8 MB)
46|Graphics|Intel® Iris® XE Graphics
46|RAM|8GB DDR4
46|Disk (storage)|512GB PCIE NVME SSD
46|LAN|IEEE 802.11 A/B/G/N/AC/AX
46|Gigabit Ethernet|TRUE
46|Wireless|802.11ac + bt
46|HD camera with 2mic.|TRUE
46|Without an operating system|TRUE
46|Battery|36Wh Li-ion
46|Adapter|45W
47|Laptop|TRUE
47|Display|15.6” (39.6cm)
47|Resolution|(1920x1080) FHD IPS 144Hz
47|Processor|AMD RYZEN 7 6800H 3.20-4.70 GHz 16 MB Cache
47|Graphics|Nvidia® GeForce RTX™ 3070 Ti 8GB GDDR6
47|RAM|16GB DDR5
47|Disk (storage)|512GB NVME SSD
47|Network card|Killer™ Ethernet E2600 10/100/1000 Gbit
47|Without an operating system|TRUE
47|Camera|720p HD Video at 30 FPS with Temporal Noise Reduction
47|Wi-fi 6e wireless lan|TRUE
47|Wireless 802.11 A/B/G/N/AC/AX|TRUE
47|Band|2.4 GHz 5 GHz and 6 GHz
47|2x2 Mu-Mimo Technology|TRUE
47|Bluetooth 5.2|TRUE
47|1 x HDMI|TRUE
47|1 x USB Type-C ™ Port (USB 3.2 / 4)|TRUE
47|2 x USB 3.2 Gen|TRUE
47|1 x USB 3.2 Gen 2 Port with Power-Off Charging|TRUE
47|DUAL MIC (33 mm + 33 mm)|TRUE
47|Battery|4 Cell Li-ion Battery 57.5whcell
47|Weight|TRUE
48|Tablet|TRUE
48|Android 12 operating system|TRUE
48|Etran|10.4” (26.4cm) 2k
48|Acer Zero-Air Gap Technology|TRUE
48|Resolution|2000 x 1200 pixels
48|Mediatek|MT8183
48|8 Cores (octa-core)|TRUE
48|Internal memory|128GB RAM 4GB
48|Primary camera|8MP AF
48|Secondary camera|5MP FF
48|Wifidual Band 5G+2.4G  AC Band Support|TRUE
48|Bluetooth 5.0|TRUE
48|GPS|TRUE
48|Battery|6000mAh
48|Dual Speaker|TRUE
48|Micro sd card slot|TRUE
48|3.5mm Audio Jack|TRUE
48|Protective holster|TRUE
49|Laptop|TRUE
49|Display|15.6” (39.6cm)
49|Resolution|(1920x1080) FHD IPS 144Hz Slimbezel
49|Processor|AMD RYZEN™ 5 6600H (6C 12T 3.3 - 4.5GHz L3 16MB)
49|Graphics|Nvidia® GeForce RTX™ 3050 4G-GDDR6
49|RAM|16 GB DDR5
49|Disk (storage)|512GB PCIE NVME SED SSD
49|Without an operating system|TRUE
49|Camera|HD USB camera
49|Wi-fi 6e|TRUE
49|Bluetooth 5.2|TRUE
49|57Wh Li-ion battery|TRUE
49|POWER|230W
50|Laptop|TRUE
50|Display|15.6” (39.6cm)
50|Resolution|(1920x1080) FHD IPS 144Hz Slimbezel
50|Processor|AMD RYZEN™ 5 7535HS (6C 12T 3.3 GHz-4.55 GHz L3 16MB)
50|Graphics|Nvidia® GeForce RTX™ 3050 4G-GDDR6 (2C*256*16*4)
50|RAM|16 GB DDR5
50|Disk (storage)|512GB PCIE NVME SED SSD
50|Without an operating system|TRUE
50|Camera|HD USB camera
50|Wi-fi 6e|TRUE
50|Bluetooth|TRUE
50|57Wh Li-ion battery|TRUE
50|POWER|180W
51|Laptop|TRUE
51|Display|15.6” (39.6cm)
51|Resolution|(1920x1080) FHD IPS 144Hz Slimbezel
51|Processor|AMD RYZEN™ 7 7735HS (8C 16T 3.2 GHz-4.75 GHz L3 16MB)
51|Graphics|Nvidia® GeForce RTX™ 3050 4G-GDDR6 (2C*256*16*4)
51|RAM|16 GB DDR5
51|Disk (storage)|512GB PCIE NVME SED SSD
51|Without an operating system|TRUE
51|Camera|HD USB camera
51|Wi-fi 6e|TRUE
51|Bluetooth|TRUE
51|57Wh Li-ion battery|TRUE
51|POWER|180W
52|Tablet|TRUE
52|iPados 16|TRUE
52|Screen|12.9” (32 76cm) Liquid Retina XDR Mini-Led
52|Resolution|(2732x2048)
52|Chipset|Apple M2
52|Cpu|Octa-core
52|GPU|Apple GPU
52|Internal memory|256GB RAM 8GB
52|"12 MP  f/1.8  (Wide)  1/3 """|1.22μm Dual Pixel PDAF
52|10 MP  F/2.4  125˚ (Ultrawide)|TRUE
52|Tof 3D Lidar Scanner (Depth)|TRUE
52|Secondary camera|TRUE
52|12 MP  F/2.4  122˚ (Ultrawide)|TRUE
52|Wi-fi|TRUE
52|Bluetooth 5.3|TRUE
52|Battery|Li-Po 10758 mAh
53|Mobile phone|iOS 14.1
53|IP68 waterproof|TRUE
53|Screen|6.1”Super Retina XDR OLED HDR10
53|Resolution|1170 x 2532 pixels
53|Chipset|Apple A14 Bionic (5 nm)
53|Cpu|Hexa-core
53|GPU|Apple GPU (4-core graphics)
53|Internal memory|128GB RAM 4GB
53|Primary camera|12 MP F/1.6 26mm (Wide) 1.4μm Dual Pixel PDAF OIS
53|Secondary camera|12 MP f/2.2 23mm (Wide) 1/3.6”
53|SL 3D|(Depth/Biometrics Sensor)
53|Wi-fi|802.11 A/B/G/N/AC/6 DUAL-BAND Hotspot
53|Bluetooth|5.0 A2DP Le
53|GPS|with a-gps glonass galileo qzss
53|Fast Charging|20W 50% in 30 min (Advertised)
53|USB POWER DELIVERY|2.0
53|Face ID|TRUE
53|Barometer|TRUE
53|Three‑axis Gyro|TRUE
53|Accelerometer|TRUE
53|Proximity Sensor|TRUE
53|Ambient Light Sensor|TRUE
53|Magsafe Wireless Charging Up to 15W **|TRUE
53|Qi Wireless Charging Up to 7.5W **|TRUE
53|Battery|Li-ion
54|Tablet|TRUE
54|iPados 16|TRUE
